student_name,age,college_name,place,degree,qualification,skills_offered,skills_wanted,experience_level,learning_goal,preferred_learning_style,availability_days,availability_times,weekly_commitment_hours,swap_history_count,average_rating,response_rate,reliability_score,domain_interest,tech_stack_familiarity,project_interest_area
Aditya Iyer,18,Pune University,Chandigarh,B.Tech,Graduate,"[""Git"", ""Graphic Design"", ""Excel"", ""React""]","[""Excel"", ""Canva"", ""Python""]",Beginner,Freelancing,1:1,Weekends,Night,18,18,4.3,0.82,1.0,Content Writing,"[""Flask"", ""MongoDB""]",Open Source
Ira Roy,22,IIT Delhi,Ahmedabad,BA,Postgraduate,"[""Kubernetes"", ""SQL"", ""Machine Learning""]","[""CSS"", ""Project Management"", ""Figma"", ""Machine Learning""]",Beginner,Learn new language,Mixed,Weekends,Night,2,4,4.6,0.98,0.5,Data Science,"[""Azure""]",Competitions
Myra Khan,19,VIT Vellore,Hyderabad,MA,Postgraduate,"[""Video Editing"", ""Kubernetes""]","[""NoSQL"", ""Deep Learning"", ""Content Writing""]",Beginner,Build portfolio,1:1,Both,Afternoon,16,23,4.9,0.69,0.61,AI/ML,"[""GCP""]",Academic
Vihaan Saha,27,VIT Vellore,Lucknow,M.Tech,12th Pass,"[""NoSQL"", ""Content Writing"", ""Kubernetes"", ""Graphic Design""]","[""Docker"", ""Java"", ""C++"", ""CSS""]",Expert,Prepare for job,Mixed,Weekends,Night,17,4,3.5,0.97,0.5,Cybersecurity,"[""SQL"", ""AWS"", ""PowerBI"", ""Node.js""]",Open Source
Aaradhya Singh,25,Osmania University,Kochi,BBA,Graduate,"[""Content Writing"", ""Canva""]","[""Git"", ""Content Writing"", ""PowerPoint""]",Beginner,Build portfolio,Async exchange,Both,Night,11,25,4.6,0.82,0.6,Software,"[""TensorFlow"", ""Node.js"", ""AWS"", ""Django""]",Freelancing
Aditya Reddy,23,Jamia Millia Islamia,Kolkata,M.Sc,Graduate,"[""Java"", ""Illustrator"", ""CSS""]","[""Angular"", ""Canva""]",Expert,Build portfolio,1:1,Both,Morning,18,4,4.8,0.71,0.25,Marketing,"[""AWS"", ""JavaScript"", ""MongoDB""]",Academic
Myra Patel,28,Calcutta University,Kolkata,B.Tech,Postgraduate,"[""Public Speaking"", ""Java""]","[""HTML"", ""NoSQL"", ""Content Writing"", ""Machine Learning""]",Beginner,Contribute to open-source,1:1,Weekdays,Night,16,15,4.1,0.77,0.8,AI/ML,"[""SQL"", ""PyTorch"", ""Tableau""]",Open Source
Sara Saha,19,Christ University,Lucknow,B.Tech,12th Pass,"[""React"", ""Video Editing""]","[""SEO"", ""JavaScript"", ""Deep Learning""]",Intermediate,Freelancing,Mixed,Weekends,Afternoon,20,9,5.0,0.96,0.56,Marketing,"[""PyTorch"", ""Canva"", ""JavaScript"", ""Java""]",Hackathons
Aaradhya Mukherjee,18,SRM University,Ahmedabad,B.Com,Graduate,"[""React"", ""Deep Learning"", ""Photoshop"", ""CSS"", ""Data Analysis""]","[""Photography"", ""Figma"", ""Machine Learning"", ""Photoshop""]",Intermediate,Learn new language,Mixed,Weekends,Night,7,27,3.1,0.57,0.89,Software,"[""JavaScript"", ""Canva"", ""Python""]",Freelancing
Ira Chatterjee,28,Mumbai University,Indore,M.Tech,Postgraduate,"[""Machine Learning"", ""Digital Marketing""]","[""Python"", ""Data Analysis"", ""SQL"", ""JavaScript""]",Expert,Crack internship,Async exchange,Weekends,Evening,5,5,4.2,0.57,0.8,Content Writing,"[""Tableau"", ""Flask""]",Hackathons
Muhammad Iyer,24,BITS Pilani,Chandigarh,MA,Graduate,"[""Photoshop"", ""Machine Learning"", ""Canva""]","[""SEO"", ""Deep Learning""]",Intermediate,Hackathon prep,Async exchange,Both,Night,11,6,4.7,0.52,0.5,Software,"[""PyTorch"", ""PowerBI"", ""TensorFlow"", ""Canva""]",Startups
Siya Kapoor,26,SRM University,Indore,M.Tech,12th Pass,"[""Docker"", ""Deep Learning"", ""Photography"", ""Python"", ""PowerPoint""]","[""Illustrator"", ""Canva"", ""Video Editing""]",Intermediate,Prepare for job,1:1,Weekends,Morning,7,1,3.6,0.86,0.0,Design,"[""SQL"", ""Azure"", ""AWS""]",Open Source
Sai Kapoor,27,Calcutta University,Kochi,B.Com,12th Pass,"[""Photoshop"", ""Video Editing""]","[""Digital Marketing"", ""Photography""]",Intermediate,Freelancing,Mixed,Both,Afternoon,10,29,3.9,0.81,0.97,Business,"[""MongoDB"", ""AWS"", ""Flask""]",Competitions
Vivaan Das,19,Manipal Institute of Technology,Bhopal,MBA,Postgraduate,"[""Kubernetes"", ""Angular"", ""Docker"", ""Canva"", ""Git""]","[""Illustrator"", ""Digital Marketing""]",Intermediate,Build portfolio,1:1,Weekdays,Evening,20,1,3.5,0.8,0.0,Finance,"[""Java"", ""JavaScript"", ""Django"", ""GCP""]",Academic
Myra Khan,19,Jamia Millia Islamia,Chandigarh,B.Com,12th Pass,"[""Figma"", ""Canva""]","[""JavaScript"", ""Content Writing"", ""NoSQL"", ""Video Editing""]",Expert,Freelancing,Async exchange,Both,Afternoon,17,20,4.9,0.56,0.25,Entrepreneurship,"[""Java"", ""Canva"", ""MongoDB"", ""PyTorch""]",Hackathons
Vihaan Malhotra,24,Manipal Institute of Technology,Chennai,B.Tech,Postgraduate,"[""Graphic Design"", ""Docker"", ""NoSQL"", ""CSS"", ""React""]","[""SEO"", ""JavaScript"", ""Java"", ""Graphic Design""]",Intermediate,Learn new language,Group sessions,Both,Afternoon,20,24,4.3,0.57,0.62,Business,"[""Node.js""]",Freelancing
Arnav Reddy,19,IIT Madras,Delhi,MA,Postgraduate,"[""Machine Learning"", ""Data Analysis"", ""Deep Learning"", ""JavaScript""]","[""Graphic Design"", ""Java"", ""Photography"", ""SQL""]",Intermediate,Crack internship,1:1,Both,Evening,16,7,3.6,0.84,1.0,Finance,"[""GCP"", ""Python"", ""TensorFlow""]",Open Source
Vivaan Kapoor,21,BITS Pilani,Mumbai,B.Tech,Postgraduate,"[""Canva"", ""Data Analysis"", ""Public Speaking""]","[""C++"", ""Java"", ""Docker""]",Expert,Contribute to open-source,Mixed,Weekends,Evening,4,1,3.4,0.53,1.0,Cybersecurity,"[""Python"", ""Node.js"", ""Django""]",Open Source
Anika Mukherjee,22,BITS Pilani,Mumbai,M.Sc,12th Pass,"[""HTML"", ""CSS""]","[""PowerPoint"", ""Docker"", ""Illustrator""]",Beginner,Prepare for job,1:1,Both,Evening,9,15,3.2,0.79,0.47,Content Writing,"[""JavaScript""]",Hackathons
Ira Saha,19,Amity University,Mumbai,M.Sc,12th Pass,"[""React"", ""Project Management"", ""Graphic Design"", ""Public Speaking"", ""Illustrator""]","[""Public Speaking"", ""C++""]",Beginner,Contribute to open-source,1:1,Both,Night,13,24,3.7,0.95,0.29,AI/ML,"[""TensorFlow"", ""Node.js"", ""Java""]",Freelancing
Avni Malhotra,25,Lovely Professional University,Kolkata,B.Tech,Postgraduate,"[""Graphic Design"", ""Project Management"", ""Docker"", ""C++"", ""Angular""]","[""CSS"", ""HTML"", ""JavaScript"", ""Photoshop""]",Expert,Contribute to open-source,Group sessions,Both,Afternoon,19,0,3.6,0.93,,Finance,"[""JavaScript"", ""TensorFlow"", ""SQL"", ""MongoDB""]",Competitions
Aaradhya Roy,24,Calcutta University,Mumbai,MA,12th Pass,"[""Video Editing"", ""Public Speaking"", ""Project Management"", ""Docker"", ""React""]","[""Graphic Design"", ""Video Editing"", ""Kubernetes""]",Beginner,Prepare for job,Group sessions,Weekdays,Afternoon,6,17,3.1,0.52,0.88,Software,"[""PyTorch"", ""Azure"", ""TensorFlow"", ""JavaScript""]",Hackathons
Vivaan Chatterjee,21,Anna University,Patna,B.Tech,Graduate,"[""Digital Marketing"", ""Figma""]","[""Video Editing"", ""Git""]",Beginner,Prepare for job,Async exchange,Both,Afternoon,19,30,4.6,0.94,0.17,Design,"[""SQL""]",Freelancing
Anika Singh,26,IIT Delhi,Delhi,B.Sc,Graduate,"[""Video Editing"", ""Java""]","[""Docker"", ""SEO"", ""Machine Learning"", ""Photography""]",Intermediate,Academic research,Group sessions,Both,Morning,18,1,3.4,0.66,1.0,Business,"[""JavaScript"", ""Java"", ""Azure""]",Academic
Myra Malhotra,25,IIT Delhi,Jaipur,B.Sc,12th Pass,"[""Machine Learning"", ""JavaScript"", ""Graphic Design"", ""C++"", ""NoSQL""]","[""Digital Marketing"", ""Content Writing"", ""Deep Learning""]",Beginner,Hackathon prep,Mixed,Both,Morning,4,26,4.1,0.9,0.92,Content Writing,"[""Python""]",Academic
Reyansh Roy,28,Mumbai University,Pune,BBA,Postgraduate,"[""SQL"", ""Public Speaking"", ""Angular""]","[""Deep Learning"", ""SEO"", ""Data Analysis""]",Expert,Freelancing,1:1,Weekends,Morning,3,4,3.6,0.61,0.75,AI/ML,"[""MongoDB"", ""React"", ""Django""]",Competitions
Aaradhya Mishra,21,Jamia Millia Islamia,Pune,B.Tech,12th Pass,"[""Photography"", ""HTML"", ""PowerPoint"", ""CSS""]","[""Photography"", ""PowerPoint"", ""Graphic Design""]",Expert,Freelancing,Async exchange,Weekends,Night,5,13,3.3,0.64,1.0,AI/ML,"[""Tableau""]",Startups
Arnav Verma,20,IIT Madras,Patna,B.Com,Graduate,"[""Python"", ""Excel"", ""Kubernetes"", ""Deep Learning""]","[""Digital Marketing"", ""Photography"", ""Docker"", ""Photoshop""]",Expert,Academic research,Mixed,Both,Morning,17,20,4.9,0.65,0.3,Software,"[""PowerBI""]",Freelancing
Arnav Nair,24,IIT Madras,Bhopal,BA,Graduate,"[""SQL"", ""HTML"", ""Photoshop"", ""Graphic Design"", ""Project Management""]","[""Content Writing"", ""HTML"", ""Angular"", ""JavaScript""]",Expert,Learn new language,Mixed,Weekdays,Evening,20,11,4.9,0.6,0.45,Business,"[""Django""]",Startups
Eva Joshi,27,NIT Trichy,Chandigarh,B.Tech,Graduate,"[""Photoshop"", ""Kubernetes"", ""NoSQL"", ""Python"", ""Project Management""]","[""C++"", ""Photography"", ""PowerPoint""]",Intermediate,Build portfolio,Group sessions,Weekends,Morning,4,8,4.6,0.64,0.62,Finance,"[""React""]",Competitions
Arnav Iyer,21,Calcutta University,Kochi,BBA,12th Pass,"[""Canva"", ""Kubernetes"", ""JavaScript"", ""Digital Marketing""]","[""Photoshop"", ""React"", ""NoSQL""]",Intermediate,Hackathon prep,Async exchange,Both,Morning,13,8,3.7,0.73,0.12,Marketing,"[""Node.js"", ""MongoDB"", ""Python"", ""Canva""]",Competitions
Eva Verma,20,VIT Vellore,Lucknow,M.Tech,Postgraduate,"[""CSS"", ""Kubernetes"", ""Docker""]","[""Kubernetes"", ""Photoshop"", ""PowerPoint""]",Beginner,Academic research,Mixed,Weekdays,Afternoon,12,22,3.8,0.96,0.73,Entrepreneurship,"[""Azure"", ""SQL""]",Freelancing
Vihaan Patel,28,Mumbai University,Lucknow,M.Tech,Graduate,"[""SQL"", ""HTML"", ""C++""]","[""Photoshop"", ""CSS""]",Intermediate,Hackathon prep,Mixed,Weekends,Evening,2,26,3.1,0.55,0.35,Cybersecurity,"[""GCP"", ""Node.js""]",Startups
Anika Reddy,23,Pune University,Bengaluru,B.Sc,Postgraduate,"[""JavaScript"", ""Graphic Design"", ""React""]","[""Java"", ""Python""]",Expert,Contribute to open-source,Async exchange,Weekends,Night,18,15,4.0,0.84,0.87,Content Writing,"[""Django"", ""Python""]",Hackathons
Aadhya Reddy,26,IIT Delhi,Lucknow,B.Tech,Graduate,"[""Data Analysis"", ""Photoshop"", ""Java""]","[""Digital Marketing"", ""Graphic Design"", ""Git""]",Expert,Crack internship,Mixed,Weekends,Morning,4,1,4.6,0.64,0.0,Software,"[""Flask"", ""Tableau""]",Hackathons
Vivaan Saha,28,Anna University,Jaipur,MBA,Postgraduate,"[""Photoshop"", ""SEO"", ""Digital Marketing"", ""CSS""]","[""CSS"", ""PowerPoint"", ""Docker"", ""Data Analysis""]",Expert,Crack internship,Group sessions,Both,Afternoon,11,7,3.9,0.97,0.71,Entrepreneurship,"[""AWS"", ""Python"", ""GCP""]",Startups
Avni Malhotra,19,Osmania University,Bengaluru,BBA,Graduate,"[""Python"", ""Digital Marketing"", ""Graphic Design"", ""Photoshop""]","[""HTML"", ""Video Editing""]",Intermediate,Academic research,Async exchange,Both,Afternoon,18,25,3.0,0.65,0.16,Entrepreneurship,"[""Azure"", ""AWS"", ""PowerBI"", ""SQL""]",Hackathons
Aarav Roy,18,NIT Trichy,Mumbai,MBA,Graduate,"[""PowerPoint"", ""Content Writing""]","[""HTML"", ""Git"", ""Illustrator"", ""Digital Marketing""]",Beginner,Academic research,1:1,Weekdays,Morning,8,11,4.5,0.98,0.18,Marketing,"[""GCP""]",Freelancing
Aryan Mishra,28,IIT Delhi,Chennai,M.Sc,12th Pass,"[""Public Speaking"", ""Photography"", ""SEO"", ""Video Editing"", ""Kubernetes""]","[""Machine Learning"", ""Digital Marketing""]",Beginner,Crack internship,Async exchange,Weekends,Evening,17,4,4.3,0.85,0.0,Finance,"[""JavaScript""]",Academic
Myra Roy,22,Amity University,Pune,M.Tech,Postgraduate,"[""Canva"", ""Graphic Design"", ""Excel""]","[""Kubernetes"", ""Angular"", ""Public Speaking""]",Expert,Hackathon prep,Group sessions,Weekends,Evening,7,2,4.4,0.51,0.0,Software,"[""Django"", ""JavaScript"", ""PowerBI"", ""Python""]",Hackathons
Anika Joshi,27,IIT Bombay,Bengaluru,B.Com,12th Pass,"[""Video Editing"", ""SQL"", ""Git"", ""PowerPoint"", ""Kubernetes""]","[""PowerPoint"", ""JavaScript"", ""Video Editing""]",Beginner,Freelancing,Async exchange,Weekends,Afternoon,15,19,3.2,0.76,0.63,AI/ML,"[""React"", ""PyTorch"", ""Canva"", ""MongoDB""]",Hackathons
Avni Malhotra,19,Osmania University,Chennai,B.Tech,12th Pass,"[""NoSQL"", ""Content Writing"", ""JavaScript"", ""CSS""]","[""CSS"", ""Excel"", ""Photoshop"", ""Graphic Design""]",Expert,Crack internship,Mixed,Weekends,Night,12,14,3.1,0.7,0.36,Design,"[""Node.js""]",Open Source
Sara Das,21,Jadavpur University,Delhi,M.Tech,12th Pass,"[""React"", ""Machine Learning"", ""NoSQL""]","[""Java"", ""Machine Learning"", ""Git""]",Expert,Hackathon prep,1:1,Both,Afternoon,4,10,4.7,0.6,0.0,Software,"[""React"", ""JavaScript"", ""Node.js"", ""Azure""]",Competitions
Sara Sharma,22,Lovely Professional University,Mumbai,MA,Postgraduate,"[""Photoshop"", ""C++"", ""Angular"", ""Video Editing""]","[""Kubernetes"", ""NoSQL"", ""Digital Marketing""]",Expert,Crack internship,Async exchange,Both,Night,13,10,4.0,0.97,0.6,Finance,"[""Node.js"", ""JavaScript""]",Competitions
Sai Patel,22,Christ University,Chandigarh,BA,12th Pass,"[""Machine Learning"", ""Java"", ""PowerPoint""]","[""CSS"", ""Python""]",Expert,Hackathon prep,1:1,Both,Afternoon,8,20,3.2,0.89,0.0,Cybersecurity,"[""Tableau"", ""SQL""]",Competitions
Aadhya Gupta,26,Amity University,Lucknow,B.Tech,12th Pass,"[""Git"", ""Angular""]","[""Project Management"", ""SQL"", ""C++"", ""React""]",Intermediate,Learn new language,Mixed,Weekdays,Afternoon,5,22,4.2,0.66,0.73,Content Writing,"[""Flask"", ""Java""]",Competitions
Ira Iyer,18,Christ University,Pune,B.Tech,12th Pass,"[""Git"", ""Python"", ""SEO"", ""Photoshop"", ""Graphic Design""]","[""C++"", ""Photography"", ""Project Management""]",Intermediate,Prepare for job,1:1,Weekdays,Night,17,2,3.8,0.9,0.5,Finance,"[""MongoDB"", ""PyTorch"", ""Azure""]",Freelancing
Siya Jain,26,VIT Vellore,Kochi,MA,Graduate,"[""Excel"", ""Java"", ""Content Writing"", ""Public Speaking"", ""Project Management""]","[""JavaScript"", ""Docker""]",Beginner,Hackathon prep,Mixed,Weekdays,Night,4,23,3.8,0.66,0.3,AI/ML,"[""AWS""]",Academic
Siya Kapoor,25,IIT Madras,Kolkata,B.Tech,Postgraduate,"[""Figma"", ""Angular"", ""CSS""]","[""Python"", ""Java""]",Intermediate,Prepare for job,Group sessions,Weekdays,Night,15,13,4.7,0.95,0.62,Marketing,"[""PowerBI""]",Hackathons
Aadhya Joshi,26,Banaras Hindu University,Patna,M.Sc,Graduate,"[""Java"", ""Excel"", ""Photography"", ""Figma""]","[""Java"", ""Canva""]",Expert,Hackathon prep,Mixed,Both,Afternoon,16,9,3.3,0.51,0.33,Design,"[""TensorFlow""]",Startups
Aryan Jain,24,Manipal Institute of Technology,Bhopal,B.Com,Graduate,"[""Digital Marketing"", ""Excel"", ""Content Writing"", ""Git""]","[""Illustrator"", ""HTML"", ""Kubernetes""]",Intermediate,Contribute to open-source,Async exchange,Weekdays,Evening,7,8,4.2,0.89,0.12,Business,"[""Python"", ""Java"", ""React""]",Academic
Muhammad Joshi,26,IIT Bombay,Kochi,B.Sc,Graduate,"[""Photography"", ""Photoshop""]","[""Figma"", ""Excel"", ""NoSQL"", ""Illustrator""]",Expert,Academic research,Group sessions,Weekdays,Morning,2,9,3.4,0.55,0.89,Design,"[""JavaScript"", ""TensorFlow"", ""MongoDB"", ""Azure""]",Hackathons
Aditya Malhotra,18,IIT Bombay,Mumbai,MA,12th Pass,"[""Angular"", ""Git"", ""Java"", ""Deep Learning""]","[""React"", ""Public Speaking""]",Expert,Freelancing,Mixed,Weekdays,Night,13,25,4.2,0.58,0.96,Finance,"[""Flask"", ""PowerBI"", ""GCP""]",Open Source
Arjun Verma,26,IIT Madras,Indore,BA,Graduate,"[""React"", ""Canva"", ""Java"", ""Photography"", ""C++""]","[""Git"", ""Deep Learning"", ""SQL"", ""Machine Learning""]",Beginner,Freelancing,Async exchange,Weekends,Afternoon,12,7,4.9,0.75,0.86,Entrepreneurship,"[""Azure"", ""SQL""]",Freelancing
Arnav Kapoor,26,Calcutta University,Ahmedabad,BBA,Graduate,"[""Photoshop"", ""Git""]","[""Canva"", ""Content Writing"", ""Docker""]",Expert,Academic research,Group sessions,Weekends,Night,2,19,4.8,0.7,0.42,Business,"[""Flask"", ""SQL""]",Academic
Eva Joshi,19,VIT Vellore,Bhopal,MBA,12th Pass,"[""Photography"", ""CSS"", ""Data Analysis""]","[""Figma"", ""SEO"", ""Java""]",Intermediate,Contribute to open-source,Mixed,Weekdays,Afternoon,4,23,3.6,0.58,0.35,Software,"[""Azure"", ""React""]",Startups
Anaya Das,22,Lovely Professional University,Pune,B.Tech,Graduate,"[""CSS"", ""NoSQL"", ""Content Writing"", ""JavaScript""]","[""PowerPoint"", ""Excel""]",Intermediate,Build portfolio,1:1,Weekends,Evening,12,2,3.2,0.59,0.0,Marketing,"[""Flask"", ""AWS"", ""TensorFlow""]",Startups
Vivaan Das,27,Banaras Hindu University,Kochi,BBA,Graduate,"[""C++"", ""Data Analysis"", ""Public Speaking"", ""Python"", ""Digital Marketing""]","[""Content Writing"", ""Photography"", ""Kubernetes"", ""Git""]",Expert,Prepare for job,Async exchange,Weekdays,Morning,11,13,3.1,0.66,0.92,Marketing,"[""PowerBI"", ""React"", ""Tableau""]",Hackathons
Sara Das,23,Calcutta University,Indore,B.Com,Postgraduate,"[""PowerPoint"", ""Excel"", ""NoSQL"", ""Project Management"", ""SEO""]","[""Graphic Design"", ""Deep Learning"", ""Canva""]",Beginner,Academic research,1:1,Both,Night,10,3,4.2,0.62,0.33,Design,"[""Azure""]",Freelancing
Sai Verma,26,Jadavpur University,Jaipur,MA,12th Pass,"[""Git"", ""SEO"", ""PowerPoint"", ""Angular""]","[""CSS"", ""Content Writing"", ""Data Analysis"", ""C++""]",Intermediate,Learn new language,Async exchange,Both,Afternoon,20,17,4.4,0.78,0.71,AI/ML,"[""Azure""]",Freelancing
Vihaan Mukherjee,19,Lovely Professional University,Bengaluru,B.Tech,Postgraduate,"[""Illustrator"", ""JavaScript"", ""Data Analysis"", ""Photoshop"", ""React""]","[""CSS"", ""Python"", ""NoSQL"", ""Digital Marketing""]",Expert,Academic research,Mixed,Both,Afternoon,20,23,4.5,0.76,0.91,Data Science,"[""GCP""]",Hackathons
Muhammad Sharma,18,Jadavpur University,Kochi,MA,Postgraduate,"[""Deep Learning"", ""Content Writing""]","[""React"", ""C++""]",Beginner,Prepare for job,Group sessions,Weekends,Afternoon,3,18,4.2,0.57,1.0,Finance,"[""Java"", ""TensorFlow"", ""PowerBI""]",Competitions
Anika Das,18,NIT Trichy,Bhopal,B.Tech,12th Pass,"[""Excel"", ""Graphic Design"", ""Digital Marketing"", ""Photoshop""]","[""Data Analysis"", ""React"", ""Photoshop"", ""Angular""]",Beginner,Hackathon prep,Group sessions,Weekends,Night,18,19,4.9,0.67,0.42,Cybersecurity,"[""Azure"", ""Flask""]",Startups
Arjun Patel,24,NIT Trichy,Kolkata,M.Tech,Graduate,"[""Excel"", ""Project Management"", ""Deep Learning"", ""JavaScript"", ""C++""]","[""C++"", ""SQL""]",Intermediate,Hackathon prep,Group sessions,Weekdays,Afternoon,9,11,4.9,0.68,1.0,Marketing,"[""PowerBI"", ""SQL"", ""React""]",Startups
Vivaan Khan,22,Jamia Millia Islamia,Pune,B.Sc,12th Pass,"[""Docker"", ""Illustrator""]","[""Canva"", ""SEO""]",Beginner,Hackathon prep,Group sessions,Weekdays,Afternoon,16,7,4.5,0.63,0.14,Software,"[""SQL"", ""TensorFlow""]",Competitions
Ira Patel,22,Jadavpur University,Mumbai,MBA,Postgraduate,"[""Data Analysis"", ""Canva"", ""Python""]","[""Digital Marketing"", ""Angular"", ""NoSQL"", ""React""]",Beginner,Hackathon prep,1:1,Weekends,Evening,12,18,3.6,0.88,0.5,Content Writing,"[""JavaScript"", ""PowerBI""]",Hackathons
Myra Jain,20,Anna University,Kolkata,MBA,Postgraduate,"[""Photoshop"", ""Illustrator"", ""PowerPoint""]","[""Public Speaking"", ""Machine Learning"", ""HTML"", ""Figma""]",Intermediate,Build portfolio,Mixed,Both,Evening,8,30,4.6,0.82,0.57,Finance,"[""TensorFlow""]",Academic
Eva Gupta,23,Pune University,Kochi,M.Tech,12th Pass,"[""NoSQL"", ""Project Management"", ""Python"", ""Video Editing""]","[""Illustrator"", ""SQL""]",Intermediate,Freelancing,Group sessions,Both,Afternoon,10,18,3.1,0.9,0.72,Design,"[""Canva"", ""PowerBI"", ""AWS""]",Competitions
Siya Jain,26,Anna University,Chennai,MA,Graduate,"[""Data Analysis"", ""Project Management""]","[""Machine Learning"", ""Python"", ""Canva""]",Beginner,Academic research,1:1,Weekdays,Afternoon,14,5,3.6,0.85,0.4,Data Science,"[""PowerBI"", ""Azure""]",Hackathons
Ira Verma,18,IIT Madras,Patna,BA,Graduate,"[""Angular"", ""Video Editing"", ""Data Analysis"", ""Digital Marketing""]","[""Graphic Design"", ""HTML""]",Intermediate,Hackathon prep,1:1,Both,Afternoon,3,0,3.5,0.51,,Entrepreneurship,"[""Django"", ""React""]",Freelancing
Avni Patel,18,SRM University,Delhi,BA,Graduate,"[""SQL"", ""Video Editing"", ""Public Speaking"", ""Python"", ""Docker""]","[""C++"", ""Docker"", ""JavaScript"", ""NoSQL""]",Intermediate,Academic research,Group sessions,Both,Morning,6,3,3.2,0.97,0.33,Data Science,"[""TensorFlow""]",Startups
Sai Chatterjee,25,Manipal Institute of Technology,Indore,B.Tech,12th Pass,"[""JavaScript"", ""React"", ""Excel""]","[""Data Analysis"", ""Excel"", ""CSS"", ""React""]",Intermediate,Build portfolio,Async exchange,Both,Morning,5,16,4.7,0.76,1.0,Software,"[""Java"", ""React"", ""Flask"", ""TensorFlow""]",Hackathons
Aadhya Joshi,22,Jadavpur University,Pune,MBA,Postgraduate,"[""Public Speaking"", ""Machine Learning"", ""NoSQL"", ""Angular""]","[""Deep Learning"", ""C++"", ""Digital Marketing"", ""Canva""]",Beginner,Contribute to open-source,Async exchange,Weekends,Evening,13,20,3.8,0.51,0.1,AI/ML,"[""AWS"", ""Node.js"", ""SQL""]",Academic
Aadhya Reddy,24,Calcutta University,Pune,M.Sc,12th Pass,"[""PowerPoint"", ""Digital Marketing"", ""Public Speaking""]","[""Photography"", ""Video Editing"", ""Deep Learning""]",Expert,Academic research,Mixed,Weekdays,Night,5,24,4.6,0.5,0.71,AI/ML,"[""Azure"", ""Django"", ""Flask"", ""GCP""]",Freelancing
